code,short,pos,neg
002698,博实股份,54.0,13.0
002649,博彦科技,51.5,8.0
300525,博思软件,62.75,13.5
300318,博晖创新,76.5,16.0
300404,博济医药,33.0,11.0
002282,博深工具,59.0,7.0
300363,博腾股份,60.0,21.45
002268,卫士通,84.5,32.7
300253,卫宁健康,56.5,18.5
002648,卫星石化,72.0,14.0
002143,印纪传媒,52.5,15.0
300471,厚普股份,86.75,15.5
002718,友邦吊顶,40.5,11.5
002277,友阿股份,88.0,16.0
002481,双塔食品,58.25,11.0
002693,双成药业,68.5,19.7
002585,双星新材,87.0,10.5
300444,双杰电气,58.0,5.0
300100,双林股份,86.875,9.0
002381,双箭股份,77.5,24.7
002395,双象股份,185.15,65.95
002038,双鹭药业,325.84999999999997,133.5
300108,双龙股份,74.25,18.5
300551,古鳌科技,143.75,31.7
002782,可立克,50.75,11.0
300046,台基股份,86.5,23.7
002366,台海核电,50.5,25.0
002588,史丹利,74.0,22.7
002538,司尔特,113.5,63.625
002383,合众思壮,68.75,13.5
002228,合兴包装,83.0,24.2
002217,合力泰,38.5,7.0
300048,合康新能,47.0,30.25
300477,合纵科技,69.0,24.7
002208,合肥城建,35.5,9.0
300597,吉大通信,42.0,13.0
002803,吉宏股份,38.5,4.0
300022,吉峰农机,31.0,12.0
000623,吉林敖东,64.75,17.0
300309,吉艾科技,55.2,14.0
002835,同为股份,97.7,21.2
002845,同兴达,111.5,41.0
300321,同大股份,97.875,28.5
002360,同德化工,70.25,20.0
300302,同有科技,49.0,6.5
002052,同洲电子,67.5,31.25
300538,同益股份,76.25,14.7
300506,名家汇,85.75,17.0
002830,名雕股份,43.0,17.5
300111,向日葵,79.2,19.0
002232,启明信息,56.0,18.7
002439,启明星辰,54.95,33.0
300500,启迪设计,45.75,16.0
300292,吴通控股,46.0,7.5
300550,和仁科技,52.5,10.0
300273,和佳股份,73.0,30.0
300279,和晶科技,62.0,7.0
002816,和科达,29.5,5.0
002824,和胜股份,33.5,13.0
300141,和顺电气,50.2,11.0
002615,哈尔斯,49.0,13.5
002567,唐人神,52.75,8.5
300426,唐德影视,75.0,19.75
002462,嘉事堂,35.0,16.0
300117,嘉寓股份,28.0,11.0
002198,嘉应制药,84.5,22.2
002404,嘉欣丝绸,85.0,17.0
002486,嘉麟杰,62.5,10.5
300468,四方精创,88.0,24.2
300179,四方达,37.0,15.0
002405,四维图新,124.75,28.0
300428,四通新材,51.0,14.0
300041,回天新材,86.3125,25.7
002586,围海股份,56.75,11.5
002736,国信证券,99.5,40.45
002045,国光电器,117.5,25.7
002749,国光股份,66.75,24.2
002377,国创高新,45.5,8.0
002449,国星光电,60.25,17.75
300077,国民技术,38.75,13.5
300285,国瓷材料,54.5,14.0
300388,国祯环保,101.0,36.25
002205,国统股份,67.0,13.0
300094,国联水产,84.25,16.5
002093,国脉科技,44.0,7.5
002074,国轩高科,133.5,29.2
002299,圣农发展,101.75,29.0
002473,圣莱达,42.5,4.0
002580,圣阳股份,105.0,26.2
300403,地尔汉宇,199.0,59.60000000000001
002791,坚朗五金,46.5,14.5
300116,坚瑞沃能,133.25,36.5
002747,埃斯顿,57.5,21.0
002447,壹桥股份,65.75,16.5
002761,多喜爱,63.0,9.0
002407,多氟多,112.75,38.5
002263,大东南,42.5,4.0
002385,大北农,53.0,8.0
002236,大华股份,57.75,16.5
300134,大富科技,32.5,10.25
002505,大康农业,45.0,9.0
002008,大族激光,59.0,16.0
002249,大洋电机,66.75,9.5
002077,大港股份,63.0,24.5
300021,大禹节水,69.5,11.0
002606,大连电瓷,66.0,12.5
002204,大连重工,65.25,26.0
002487,大金重工,23.0,11.0
002459,天业通联,60.45,24.825
300390,天华超净,58.0,20.7
002386,天原集团,58.125,23.5
300397,天和防务,53.0,11.5
300205,天喻信息,169.9,32.5
300332,天壕环境,94.0,34.0
002009,天奇股份,120.95,70.5
002238,天威视讯,38.5,4.0
300394,天孚通信,60.0,20.75
002220,天宝股份,42.0,16.0
300313,天山生物,85.5,22.2
002509,天广中茂,81.0,24.2
002100,天康生物,70.0,24.7
300169,天晟新材,30.0,6.0
002510,天汽模,53.75,7.5
002564,天沃科技,56.0,13.5
300209,天泽信息,50.0,7.0
002134,天津普林,41.5,8.0
300008,天海防务,55.0,7.5
002113,天润数娱,37.0,12.0
002283,天润曲轴,84.75,16.5
300047,天源迪科,237.29999999999998,54.5
300245,天玑科技,75.75,20.0
300165,天瑞仪器,64.75,15.5
002354,天神娱乐,123.95,34.15
300362,天翔环境,44.5,6.0
300569,天能重工,78.375,13.0
300148,天舟文化,54.0,18.7
002419,天虹商场,93.7,23.75
002709,天赐材料,34.75,14.0
002124,天邦股份,99.75,31.0
300587,天铁股份,58.2,17.2
300342,天银机电,71.0,13.75
002759,天际股份,32.5,4.0
002800,天顺股份,56.0,11.5
002531,天顺风能,72.0,27.65
002453,天马精化,24.7,7.75
002122,天马股份,43.5,6.0
002466,天齐锂业,55.5,8.0
300029,天龙光电,49.0,6.0
002433,太安堂,108.5,28.75
002368,太极股份,34.0,13.0
300344,太空板业,57.0,8.0
300570,太辰光,88.75,23.5
002300,太阳电缆,45.75,10.0
300123,太阳鸟,46.0,17.0
002781,奇信股份,36.0,6.0
002287,奇正藏药,45.5,5.0
300082,奥克股份,100.4,30.25
002587,奥拓电子,82.0,21.0
002338,奥普光电,67.2,11.0
002239,奥特佳,62.875,7.0
002227,奥特迅,40.5,15.5
002701,奥瑞金,219.325,112.825
002231,奥维通信,72.5,20.2
300585,奥联电子,64.0,18.7
002292,奥飞娱乐,87.5,26.5
002668,奥马电器,36.0,12.0
002729,好利来,34.0,13.0
002582,好想你,68.75,16.5
002605,姚记扑克,86.0,19.0
002308,威创股份,222.5,43.7
002058,威尔泰,92.0,21.2
002111,威海广泰,86.95,32.2
002083,孚日股份,40.0,10.0
002164,宁波东力,42.0,16.2
002048,宁波华翔,74.75,23.0
002142,宁波银行,121.75,43.7
002289,宇顺电子,126.5,45.2
300218,安利股份,64.0,44.75
002235,安妮股份,74.0,23.45
300155,安居宝,42.0,13.0
300370,安控科技,161.625,34.0
300380,安硕信息,96.75,43.45
300286,安科瑞,70.75,24.9
300009,安科生物,121.95,26.0
002136,安纳达,28.2,12.5
300067,安诺其,72.0,21.5
300572,安车检测,59.0,7.0
300144,宋城演艺,87.75,34.5
002624,完美世界,133.75,45.0
002683,宏大爆破,39.5,7.0
002062,宏润建设,46.75,11.5
002211,宏达新材,23.25,5.0
002144,宏达高科,179.64999999999998,66.2
300328,宜安科技,76.25,26.25
002627,宜昌交运,57.5,20.0
300310,宜通世纪,65.2,17.75
300135,宝利国际,64.0,18.5
300023,宝德股份,61.25,13.0
300402,宝色股份,68.0,19.7
002476,宝莫股份,71.75,36.2
300246,宝莱特,90.0,25.5
300031,宝通科技,28.0,6.0
600019,宝钢股份,250.25,85.25
002514,宝馨科技,61.0,22.7
002047,宝鹰股份,32.5,3.0
002552,宝鼎科技,46.0,6.0
300612,宣亚国际,44.0,17.0
300576,容大感光,51.5,15.0
300432,富临精工,45.5,8.0
002357,富临运业,70.75,15.5
002327,富安娜,58.0,19.0
300299,富春股份,70.0,22.7
002818,富森美,60.0,6.5
002743,富煌钢构,55.75,15.0
300228,富瑞特装,46.5,12.0
300497,富祥股份,107.7,44.2
300387,富邦股份,70.5,12.5
300267,尔康制药,60.5,7.0
002551,尚荣医疗,108.5625,34.0
002427,尤夫股份,67.5,16.0
002490,山东墨龙,34.0,12.0
002193,山东如意,44.0,15.0
002026,山东威达,67.2,13.0
002526,山东矿机,98.5,41.7
002598,山东章鼓,70.5,30.45
002097,山河智能,54.5,17.5
300452,山河药辅,87.5,23.2
002500,山西证券,46.0,10.0
300492,山鼎设计,47.25,6.0
002717,岭南园林,108.0,25.2
002253,川大智胜,47.25,15.0
002272,川润股份,71.9,22.5
300547,川环科技,64.0,12.5
300505,川金诺,71.5,23.45
002342,巨力索具,54.125,10.0
002444,巨星科技,112.25,29.75
002031,巨轮智能,119.95,32.7
002619,巨龙管业,86.75,20.5
002188,巴士在线,67.0,27.5
300262,巴安水务,45.5,7.0
002485,希努尔,57.5,25.7
002798,帝王洁具,39.5,5.0
002247,帝龙文化,42.25,5.0
002478,常宝股份,43.5,10.0
300255,常山药业,74.5,16.5
002160,常铝股份,47.2,11.0
300571,平治信息,29.0,9.0
300528,幸福蓝海,66.75,9.0
002101,广东鸿图,76.2,15.0
300537,广信材料,169.25,49.5
002103,广博股份,51.2,12.0
002133,广宇集团,50.75,8.0
002482,广田集团,15.0,6.0
600831,广电网络,50.0,10.0
002152,广电运通,93.0,45.25
002187,广百股份,43.5,10.7
002410,广联达,39.5,14.0
002367,康力电梯,172.875,44.0
002773,康弘药业,47.25,11.64
002119,康强电子,77.75,16.5
002450,康得新,227.25,67.45
300455,康拓红外,43.0,7.0
300445,康斯特,46.0,7.5
600076,康欣新材,42.5,16.0
300601,康泰生物,42.5,15.5
002418,康盛股份,52.5,15.0
300061,康耐特,49.5,5.0
300086,康芝药业,54.0,7.0
002669,康达新材,50.0,12.0
002178,延华智能,30.0,12.0
300107,建新股份,38.0,14.0
002398,建研集团,44.625,6.0
002789,建艺集团,40.0,10.0
300338,开元仪器,92.75,32.45
300234,开尔新材,72.5,25.7
300577,开润股份,88.5,25.7
300633,开立医疗,47.0,8.5
300272,开能环保,229.64999999999998,80.75
002833,弘亚数控,34.0,17.0
002839,张家港行,33.0,6.5
300429,强力新材,52.0,3.5
300073,当升科技,106.65,28.0
002561,徐家汇,41.5,15.75
