code,short,pos,neg
002228,合兴包装,202.25,8.0
002217,合力泰,79.0,9.0
300048,合康新能,220.75,26.0
300477,合纵科技,210.45,25.0
002208,合肥城建,99.0,14.0
300597,吉大通信,503.5,40.75
002803,吉宏股份,106.5,11.0
300022,吉峰农机,91.0,13.0
000623,吉林敖东,555.0,46.5
300309,吉艾科技,161.0,31.0
002835,同为股份,119.5,10.0
002845,同兴达,328.75,59.0
300321,同大股份,150.6,26.0
002360,同德化工,134.0,19.0
300302,同有科技,142.125,11.0
002052,同洲电子,258.5,32.0
300538,同益股份,490.125,64.0
300506,名家汇,792.5,77.5
002830,名雕股份,320.05,57.0
300111,向日葵,79.75,11.0
002232,启明信息,259.25,34.5
002439,启明星辰,110.1,18.0
300500,启迪设计,234.0,14.0
300292,吴通控股,127.0,15.0
300550,和仁科技,207.325,22.7
300273,和佳股份,197.0,25.75
300279,和晶科技,105.75,10.0
002816,和科达,127.5,28.0
002824,和胜股份,606.95,113.75
300141,和顺电气,81.25,10.25
002615,哈尔斯,96.5,13.0
002567,唐人神,151.0,20.0
300426,唐德影视,460.5,42.0
002462,嘉事堂,110.125,14.5
300117,嘉寓股份,118.0,25.0
002198,嘉应制药,100.5,14.25
002404,嘉欣丝绸,201.25,27.75
002486,嘉麟杰,393.95,51.0
300468,四方精创,155.75,10.0
300179,四方达,138.5,37.0
002405,四维图新,310.45,37.0
300428,四通新材,239.42499999999998,21.0
300041,回天新材,499.625,52.25
002586,围海股份,178.75,30.0
002736,国信证券,515.5,88.25
002045,国光电器,209.875,30.25
002749,国光股份,159.0,18.0
002377,国创高新,42.75,4.0
002449,国星光电,255.375,30.0
300077,国民技术,234.25,30.75
300285,国瓷材料,75.25,10.0
300388,国祯环保,147.0,30.5
002205,国统股份,144.0,21.5
300094,国联水产,402.75,34.75
002093,国脉科技,90.0,15.0
002074,国轩高科,356.0,46.0
002299,圣农发展,96.5,11.0
002473,圣莱达,116.0,8.0
002580,圣阳股份,174.5,23.5
300403,地尔汉宇,322.525,61.2
002791,坚朗五金,257.0,31.25
300116,坚瑞沃能,178.875,15.0
002747,埃斯顿,172.25,15.0
002447,壹桥股份,155.75,17.0
002761,多喜爱,88.25,11.0
002407,多氟多,122.5,17.0
002263,大东南,177.0,25.5
002385,大北农,196.0,14.0
002236,大华股份,204.5,10.0
300134,大富科技,188.5625,21.0
002505,大康农业,240.5,37.0
002008,大族激光,106.25,12.5
002249,大洋电机,278.75,23.0
002077,大港股份,153.0,26.0
300021,大禹节水,225.875,22.25
002606,大连电瓷,171.25,22.0
002204,大连重工,386.0,42.0
002487,大金重工,30.0,5.0
002459,天业通联,136.75,14.0
300390,天华超净,201.5,27.0
002386,天原集团,167.0,17.0
300397,天和防务,276.0,39.0
300205,天喻信息,152.65,27.75
300332,天壕环境,90.875,15.0
002009,天奇股份,130.2,61.0
002238,天威视讯,164.0,16.5
300394,天孚通信,108.5,14.0
002220,天宝股份,66.5,14.0
300313,天山生物,215.6875,23.0
002509,天广中茂,249.375,26.0
002100,天康生物,148.45,26.0
300169,天晟新材,48.25,3.5
002510,天汽模,108.5,15.0
002564,天沃科技,174.65,21.5
300209,天泽信息,178.0,16.0
002134,天津普林,99.0,27.0
300008,天海防务,118.375,13.0
002113,天润数娱,64.75,6.0
002283,天润曲轴,202.0,24.7
300047,天源迪科,287.25,62.5
300245,天玑科技,205.0,58.0
300165,天瑞仪器,78.5,14.0
002354,天神娱乐,135.875,13.0
300362,天翔环境,155.0,15.5
300569,天能重工,641.5,134.0
300148,天舟文化,235.25,31.75
002419,天虹商场,265.875,32.0
002709,天赐材料,156.5,26.5
002124,天邦股份,252.5,25.0
300587,天铁股份,273.125,35.5
300342,天银机电,212.25,22.5
002759,天际股份,72.9,11.5
002800,天顺股份,123.5,10.0
002531,天顺风能,181.375,15.0
002453,天马精化,47.0,5.0
002122,天马股份,134.0,9.0
002466,天齐锂业,147.0,15.5
300029,天龙光电,57.0,10.5
002433,太安堂,177.5,10.0
002368,太极股份,190.75,18.0
300344,太空板业,356.5,20.0
300570,太辰光,186.0,16.0
002300,太阳电缆,310.0,46.0
300123,太阳鸟,336.25,91.0
002781,奇信股份,250.125,11.5
002287,奇正藏药,209.0625,40.0
300082,奥克股份,229.5,33.0
002587,奥拓电子,227.25,4.0
002338,奥普光电,178.25,19.5
002239,奥特佳,184.375,15.0
002227,奥特迅,176.75,22.0
002701,奥瑞金,415.0,53.0
002231,奥维通信,158.5,24.5
300585,奥联电子,122.75,11.0
002292,奥飞娱乐,447.625,60.0
002668,奥马电器,61.0,11.0
002729,好利来,74.5,12.0
002582,好想你,358.875,52.25
002605,姚记扑克,183.25,28.0
002308,威创股份,502.9375,60.875
002058,威尔泰,113.5,16.0
002111,威海广泰,237.25,40.0
002083,孚日股份,32.25,7.0
002164,宁波东力,116.25,15.0
002048,宁波华翔,71.75,20.0
002142,宁波银行,259.75,40.0
002289,宇顺电子,225.25,24.0
300218,安利股份,308.0,173.0
002235,安妮股份,282.25,20.5
300155,安居宝,237.0,45.75
300370,安控科技,579.19,67.5
300380,安硕信息,319.0,71.0
300286,安科瑞,163.0,24.0
300009,安科生物,206.28125,26.5
002136,安纳达,39.5,4.0
300067,安诺其,473.625,36.0
300572,安车检测,364.125,38.5
300144,宋城演艺,429.625,55.8
002624,完美世界,188.4375,15.0
002683,宏大爆破,170.25,33.0
002062,宏润建设,153.75,7.0
002211,宏达新材,52.0,11.0
002144,宏达高科,205.0,24.0
300328,宜安科技,143.5,17.0
002627,宜昌交运,489.375,88.5
300310,宜通世纪,83.5,16.5
300135,宝利国际,119.5,27.0
300023,宝德股份,345.375,42.0
300402,宝色股份,193.425,34.75
002476,宝莫股份,580.0,75.0
300246,宝莱特,186.25,18.0
300031,宝通科技,125.6,22.0
600019,宝钢股份,557.7,88.625
002514,宝馨科技,187.75,28.0
002047,宝鹰股份,48.5,1.0
002552,宝鼎科技,218.5,37.0
300612,宣亚国际,252.5,46.5
300576,容大感光,126.0,14.0
300432,富临精工,33.0,7.0
002357,富临运业,123.75,16.0
