code,short,allToneQ,allToneA
002092,中泰化学,0.6388415672913118,0.7578125
002659,中泰桥梁,0.6869565217391305,0.8754863813229572
300435,中泰股份,0.6973684210526315,0.8088737201365188
002401,中海科技,0.7377049180327869,0.7846153846153846
300177,中海达,0.5819935691318329,0.8011049723756906
300526,中潜股份,0.5854042151620007,0.8857142857142857
002129,中环股份,0.17070895522388058,0.6713162566573675
300140,中环装备,0.6299212598425197,0.7280226647779352
002298,中电鑫龙,0.3354632587859425,0.879154078549849
002738,中矿资源,0.5319148936170213,0.8644382544103992
002306,中科云网,0.32943975773307377,0.4689683518290177
002290,中科新材,0.6941176470588235,0.8507462686567164
300035,中科电气,0.6205962059620597,0.725
002657,中科金财,0.4023732470334412,0.7919655667144907
300062,中能电气,0.6638655462184874,0.8023064250411862
